都道府県コード,beta,gamma,sigma_bar
1.0,-1.3161398166461058e-29,-5.362167935694446e-23,38.29770034713582
2.0,3.82833896347008e-06,0.4123327012905985,6.530124795425742
3.0,-4.306392521124156e-18,-4.425026284835739e-12,7.317909171556188
4.0,-1.856143296611884e-05,-2.853598647939338,3.942630925142639
5.0,9.037125421288516e-06,0.7427290831866351,9.324199344463471
6.0,2.5645918149716282e-05,2.145399050787728,3.335390518375466
7.0,-4.117641721103047e-15,-6.3150644583330635e-09,20.50789914540035
8.0,0.0001773756797984216,33.63224889130527,15.196414124469673
9.0,0.0003048036171960181,40.76346007503823,9.90423050456984
10.0,-1.745380884821562e-21,-2.4035749059759807e-15,23.070493092951672
11.0,-1.5694947637125236e-28,-6.8105378805084155e-22,68.42110142605274
12.0,-3.902373690587607e-27,-1.4622613055266856e-20,52.47842648662057
13.0,-1.107828918818828e-53,-7.921449194927211e-47,132.54512056708222
14.0,-3.598699152093127e-53,-1.861065037638724e-46,98.48786309802718
15.0,-7.971122186569629e-29,-1.4104738397717013e-22,11.538811494182054
16.0,-1.3173678322181415e-30,-1.0067877059828356e-24,20.704979560996723
17.0,0.00034784651200808883,27.876354789109957,11.155683373059349
18.0,-3.71541616612023e-29,-2.1306062288370943e-23,10.170008285330788
19.0,1.2970480714964367e-05,0.6852698777804629,9.074778261779562
20.0,0.00021972369096265348,31.12850525473698,12.929067743705495
21.0,-9.877339610572195e-22,-1.4092011491149449e-15,8.492549518213197
22.0,0.00012915236420095295,32.192628053407326,29.395370571640253
23.0,-5.376424249479019e-21,-2.56381139724946e-14,37.37740394700987
24.0,1.3784276729232474e-08,0.0015472962352967774,14.636206873969613
25.0,1.4435746839617875e-08,0.0012030144435742187,5.330663923550279
26.0,-1.878681885150092e-38,-3.348665732145097e-32,19.587680965129064
27.0,-7.544382291700992e-06,-4.436478104520957,28.831784792545456
28.0,-4.739063714610107e-24,-1.7837063270551834e-17,43.183705321262856
29.0,-2.265370376303089e-20,-2.004021447785958e-14,2.3733801671167534
30.0,-1.38970092903061e-16,-1.0150032696303497e-10,14.480157942822194
31.0,0.001686819467865238,69.46299420838487,4.2181004299018126
32.0,0.0015983271732943817,81.47885405393345,4.485157075165884
33.0,0.0003851366721067969,48.78265057339915,10.206861044819508
34.0,0.0002293953015741948,44.40845305964057,15.230582375986373
35.0,-1.1734727693573475e-17,-1.2738050946995207e-11,10.730519085659088
36.0,6.964913807014266e-05,3.6750221033082138,5.042394262397983
37.0,1.110750177207185e-05,0.7541446667783429,5.024133425580081
38.0,3.373424632604518e-05,3.434272201631944,6.162795624855432
39.0,3.0788853882414935e-06,0.16058062883312835,4.0639766336824685
40.0,-1.1363529778704219e-05,-3.711654330177137,3.6514049316823134
41.0,-4.18906196924578e-23,-2.7032728266419452e-17,4.890667304492494
42.0,-2.2698305761026836e-27,-2.6866240049696487e-21,9.93862860163082
43.0,-2.039704153597774e-24,-2.5809284369365624e-18,4.169918932684671
44.0,1.9914210334190437e-07,0.17501321087913632,2.813911536632573
45.0,-7.966303773680265e-17,-7.186287257445931e-11,3.0640079510699354
46.0,1.1630513170986511e-05,1.4099611674022834,9.244611586699122
47.0,4.7341089849141224e-08,0.04934966078991311,2.0910613986074504
