,lambda_0,I_0
1.0,0.3617472225012062,48.83208265527622
2.0,0.4341204640141284,4.227335859917071
3.0,0.02467523765517865,19.18985986494001
4.0,-0.0344717770217835,33.925196848687165
5.0,0.30001866238881036,8.45161067635346
6.0,0.368887945410017,3.5422697005041512
7.0,0.37944705204363194,20.5380687566263
8.0,0.8216860001407006,20.84458911229637
9.0,0.7516537946581868,13.314177946655956
10.0,0.601785014173107,13.175771313340617
11.0,0.5189817073102888,46.81300502948252
12.0,0.3625818809551655,66.6840814745734
13.0,0.29512587148073144,166.64104934660423
14.0,0.5416172831668394,68.24116053762295
15.0,0.4090602157121888,12.16802242683414
16.0,0.36676091809293676,20.99133572558037
17.0,0.6932214046209081,13.443946616326977
18.0,0.47859155380462237,7.472638558832508
19.0,0.8256309312115377,1.5316982437743263
20.0,0.7894046499521908,14.9269398444288
21.0,0.23601911981619783,15.68917814419887
22.0,0.6357838320251235,42.5505419013328
23.0,0.5300487650441478,28.0832415796625
24.0,0.7394356548478815,6.563694456648228
25.0,0.09808292529920515,11.463276052235573
26.0,0.028244873619061805,49.07082544326509
27.0,-0.05545481045565692,131.79936464274087
28.0,0.24104728047941137,71.04149654672058
29.0,0.06909629787247984,9.498181530701215
30.0,0.3007931815234152,19.705338015244923
31.0,0.780694054294857,2.440653496675154
32.0,0.9151770668616007,1.1458019190381896
33.0,0.789176762463747,9.441380012618412
34.0,0.822484723554472,13.57856275462527
35.0,0.344993433868923,14.589573356650552
36.0,0.31668674959727167,3.9561751770345053
37.0,0.35615269674273586,6.940025392933038
38.0,0.5686677006743854,4.4147818977410624
39.0,0.3203006571688697,4.271576005535348
40.0,-0.15777718609431987,66.07898098190496
41.0,0.18619885554355164,9.25921288468234
42.0,0.12358261288443151,18.55179253900089
43.0,0.24929576337551929,9.912826413884902
44.0,-0.21192981181528747,17.05304618668312
45.0,0.028768207243059507,11.132348781971993
46.0,0.49660708659305336,6.99986843123552
47.0,-0.8047189562209864,6.069622310039803
