,lambda_0,I_0
1.0,0.41506483653928006,10.206594210801871
2.0,0.21972245773192023,1.2457309396133969
3.0,0.1350155314504017,3.761390107492071
4.0,0.11758019273399944,4.7720027078700875
5.0,0.549306144333072,0.763142828366773
6.0,-0.03736595156677591,5.112577454529471
7.0,0.4686693273782332,3.256609662458566
8.0,0.29708872335415437,8.12592406304632
9.0,0.3988984046551164,3.441428412679987
10.0,0.2796305248841384,5.7272036997478075
11.0,0.3068508618689255,17.64089550743133
12.0,0.292786791543141,15.982305137409941
13.0,0.5124330207760638,32.78533994692306
14.0,0.5157730079866342,17.334758918297812
15.0,0.15528675609272813,5.22342278458713
16.0,-0.35351453541718947,9.8310209972028
17.0,0.13862943611011047,2.297396709993226
18.0,0.19665294362405272,4.508082806660146
19.0,0.5559743283005496,0.7573065421224422
20.0,0.35377949022277266,4.885792489321295
21.0,0.30205773135358827,4.032791273992135
22.0,0.3153796900182923,10.383147014116329
23.0,-0.011332868532906604,23.397648440980205
24.0,-0.22726626830153096,11.593410756333864
25.0,0.6238324625031304,1.7455448924420551
26.0,0.6238324625031302,4.570909484900609
27.0,0.3047196599811217,24.205018025818404
28.0,0.40930389006151313,19.57500011063356
29.0,0.353596498901084,4.1802508463317025
30.0,0.6125412519609272,1.2079108797701483
31.0,0.7677863500673147,1.244184388664267
32.0,0.9729550745275982,0.5465517665044839
33.0,0.7586209181499404,3.9453312910536975
34.0,0.3031511855358109,8.175336800454861
35.0,0.31860219999822603,3.969872459452628
36.0,0.25665506622252005,2.8319429173638877
37.0,0.5851843219837007,5.077937081651179
38.0,0.3129230118475725,14.9873456796791
39.0,0.4694782344666206,2.022794657521827
40.0,0.34908095366145736,17.933453194988083
41.0,0.09162907318543445,2.6845384340493603
42.0,0.09429950062487813,10.05763837730317
43.0,0.07088955375078199,4.26017285772841
44.0,0.5630091082378165,1.87718779751149
45.0,0.3178053830333065,2.9149249735896645
46.0,0.1682361158270799,3.9953176701356576
47.0,0.5493061443340549,1.1547005383792515
