,lambda_0,I_0
1.0,0.07505221465162626,2.5428247144917804
2.0,0.03232292551622873,0.8755674064744895
3.0,-0.0024608775663046423,1.1244587744909187
4.0,0.007103450068297601,1.6733258906567399
5.0,0.05700970215628154,0.8724852069639266
6.0,-0.05810310706096212,2.7879612495699058
7.0,0.0312855201163168,1.3915078542243204
8.0,0.08250138403392687,1.5204766440092825
9.0,7.34308180536658e-05,2.05176645196857
10.0,0.05162361689933148,1.335391508891315
11.0,0.09967422005777549,2.77281528178399
12.0,0.05071071166912566,3.5207976072313834
13.0,0.1297700411705781,6.0110760339809275
14.0,0.10207990849825091,4.091981997589772
15.0,0.019062427085609124,1.4997564543735333
16.0,-0.03479976011898134,2.388594329406689
17.0,0.0012188989085366586,1.2488784410478857
18.0,0.04326365717651959,1.2608377223233422
19.0,0.09039215036603782,0.6588927269658856
20.0,0.05104349498350225,1.9157687326098503
21.0,0.019212636759218693,1.6012642872927123
22.0,0.07913608044195553,1.9714600095934551
23.0,-0.004902882561763411,4.912957293359487
24.0,-0.010882535378134328,2.2318105811142934
25.0,0.04984558524564964,1.1269847895875584
26.0,0.03339783984319338,3.2404132993162835
27.0,0.07097565181841714,5.275036522104132
28.0,0.07091417763336683,4.895837183976013
29.0,0.05619050063149722,1.2211263428419985
30.0,0.03713288467075426,1.0124545480965812
31.0,0.11294150478387555,0.7283791490120015
32.0,0.16567688485301113,0.3387254219346289
33.0,0.17550635624088173,0.876819881299926
34.0,0.053506598585033704,2.2865758934098634
35.0,0.022646912294197925,1.3450077891406202
36.0,0.03461710657638184,1.0520262709402375
37.0,0.13680355788890353,1.0952809283744402
38.0,0.09896066096515521,2.645321403803674
39.0,0.012026212909768574,1.3172017563157157
40.0,0.09216934085163664,3.0255421867491687
41.0,0.0031036440898852824,1.2324187504389144
42.0,0.03715354091238976,1.8144388683073842
43.0,-0.012582782285459171,1.5213657258145623
44.0,0.09036077106111107,1.034909741730627
45.0,0.057077033215384126,1.1864958404933854
46.0,0.03591003465341236,1.0470026256543756
47.0,0.13979853658272112,0.36061485752271055
