,lambda_0,I_0
1.0,0.4759021663904637,16.689380280650273
2.0,0.226131540711226,6.436091750751361
3.0,0.5837730447156861,2.142793853731519
4.0,0.5216176919782567,7.204297690558013
5.0,0.9181940897452701,1.0225651825613922
6.0,0.9128696382933771,2.1576692799735064
7.0,0.7507964463877377,4.466583884420078
8.0,0.6031568944558426,9.700976179117104
9.0,0.920701453500487,2.994603244872655
10.0,0.9133515669369732,5.17640323086105
11.0,0.2533788267597069,65.00189191944426
12.0,0.8710655683088979,22.801850658793846
13.0,0.6655801927713694,75.94674766158006
14.0,0.5335247597937518,84.68866471188899
15.0,0.7289300778118853,8.983555721068878
16.0,0.01414995622521964,5.071252703607382
17.0,0.14100108877184714,3.525507419512693
18.0,0.3065141698192747,2.5157878611787927
19.0,0.41588830833469315,5.721704563984564
20.0,0.46531111014962717,9.18630963208569
21.0,0.4615787924492425,5.090444231951081
22.0,0.46084081812501054,16.703293554104913
23.0,0.7345445533623001,8.33812953809629
24.0,0.4726609082263754,5.92819687730328
25.0,0.11223288152660627,3.9554611896320124
26.0,0.6425100513324744,4.107163228227809
27.0,0.41527253686367044,13.316577169228133
28.0,0.3578406476848174,16.66176486596709
29.0,0.5537625854705868,2.7898655086656303
30.0,0.549762349503857,2.0390286647269407
31.0,0.15666787641524518,4.999999999999999
32.0,0.5837730447156864,1.515184064657266
33.0,0.7412186427519765,2.8635518246353984
34.0,0.35665343667356764,10.721988681863849
35.0,0.8100313169247308,4.319575555810457
36.0,0.3871201010894523,2.082759487983611
37.0,0.4644187378217214,3.062952833655496
38.0,0.4938064601250379,6.130860559071989
39.0,0.20794415416625633,0.8705505632939615
40.0,0.5736385808794131,12.179542235541478
41.0,0.3008154793537299,1.5599542838067169
42.0,0.26139836920470316,5.6237305657193914
43.0,0.2928112085863587,5.579654871786924
44.0,0.8705629349207223,1.4272552957735485
45.0,0.4135166556729566,2.138469199981257
46.0,0.4852030263908388,2.436757189068126
47.0,0.16094378897466532,2.349237898612287
