都道府県コード,λ_0,I_0,R_0,I_0_actual,sigma_bar
1.0,0.11224557672680344,25.467132830629993,1.0413793103448277,8,21.759987203411352
2.0,0.16926482670278636,2.8202995926657657,1.0413793103448277,1,2.4554193829284263
3.0,0.09079595337372993,4.918559917698294,1.0413793103448277,3,4.087363917925709
4.0,0.06313517200037153,7.0036396999824975,1.0413793103448277,3,4.838568121913452
5.0,0.13667994750856174,3.373863445534819,1.0413793103448277,0,4.423265771839405
6.0,-0.011005322815378936,7.870884899534747,1.0413793103448277,13,3.587449102484901
7.0,0.05702683700374359,9.299976584265192,1.0413793103448277,3,6.9671290587647
8.0,3.4573627408198704e-16,14.803290769968253,0.1,9,6.069609302550702
9.0,0.04374391693880977,7.975099611934955,1.0413793103448277,4,4.550729772084795
10.0,0.010008124889511721,11.708868578506147,1.0413793103448277,5,7.365824056389092
11.0,1.824167902571242e-21,30.17009248639189,0.1,19,13.926712993140498
12.0,3.4114548904131337e-25,28.062637066748053,0.1,16,11.647174366370207
13.0,3.617398981526527e-10,78.57931602679231,0.1,30,41.958161627157715
14.0,0.009121330213946819,42.64726771265045,1.0413793103448277,13,15.164615902841245
15.0,0.04111295627278162,7.915987166252199,1.0413793103448277,6,4.409796422003929
16.0,-2.396537294076822e-28,6.987995168894441,0.1,7,2.8674668852825653
17.0,0.053902747025084824,3.0314041681318287,1.0413793103448277,4,1.3703333881981503
18.0,0.011476281225419481,7.0237774866839775,1.0413793103448277,4,2.8187122448072452
19.0,0.04839052317024108,2.8222883210038856,1.0413793103448277,1,2.702493794762034
20.0,1.540087543008672e-14,10.093756445674462,0.1,10,4.88639380262067
21.0,3.243693436434415e-16,5.676552228653854,0.1,4,3.1269594660170417
22.0,1.375145271085604e-23,15.471088074655105,0.1,9,7.228251757048707
23.0,-0.016385601704441085,24.238168227805225,1.0413793103448277,20,3.0037737206680353
24.0,-0.05238634968543298,10.722347582603232,1.0413793103448277,11,3.797854572339579
25.0,3.554511496150025e-15,5.435173399930498,0.1,1,2.7933054054415303
26.0,6.140875753532771e-21,12.86675423998832,0.1,3,6.65743776516183
27.0,1.6993909495287327e-16,35.61684767541552,0.1,20,13.541114482025293
28.0,9.615646245563581e-14,34.05231580410071,0.1,13,19.404810402701937
29.0,1.2856871878041498e-12,7.012191068910211,0.1,4,3.7712558709828135
30.0,0.020724485474478853,3.7928675986905946,1.0413793103448277,1,2.4563612349953585
31.0,5.488200338866189,9.551935134338035e-05,1.0413793103448277,1,3.3688378346498555
32.0,6.118898742975107,4.331823298344779e-05,1.0413793103448277,0,2.7221486755242763
33.0,5.296451927526144,0.0006960835688530788,1.0413793103448277,3,10.485054621194946
34.0,4.0244459795872057e-10,11.313813006986871,0.1,9,4.594724384522954
35.0,2.9078385505082066e-26,6.655299929943121,0.1,5,3.651501408467081
36.0,2.9345455894057547e-06,4.006967412426177,1.0413793103448277,2,1.247245139258958
37.0,4.08713154018526,0.008721521200419769,1.0413793103448277,4,6.531247225403191
38.0,8.583452286987753e-28,17.363328143585278,0.1,14,11.527783333214193
39.0,1.8590155880158882e-05,4.768690151459686,1.0413793103448277,4,2.5288921825683164
40.0,7.728507726650969e-11,31.611924249103623,0.1,20,13.662710691144328
41.0,0.03675361446737626,3.452585790329773,1.0413793103448277,3,1.511048097347089
42.0,9.297586093694406e-31,9.760943279884224,0.1,11,2.8588674167390424
43.0,0.04562247786108736,5.172848337768839,1.0413793103448277,3,2.004485512328997
44.0,0.03540546693539431,7.432668181674359,1.0413793103448277,2,6.047301736243828
45.0,0.01295310612011708,4.65335504569868,1.0413793103448277,3,1.7839665807554226
46.0,0.025329126294191474,4.426369754039566,1.0413793103448277,0,2.531192073864507
47.0,0.009892734508747416,2.1415228506091735,1.0413793103448277,0,2.0416101279144976
