都道府県コード,λ_0,I_0,R_0,I_0_actual,sigma_bar
1.0,3.006413663097787e-20,13.289649949149208,0.1,10,9.44613238951067
2.0,9.380832909410853e-06,1.5776698433953478,1.0413793103448277,2,1.6155519016389943
3.0,9.30521054938228e-07,2.3785966470983175,1.0413793103448277,5,2.3811458044590297
4.0,9.48591650270596e-07,4.108066566729731,1.0413793103448277,9,3.1096782844570545
5.0,1.8182543764864895e-06,2.4548892661785575,1.0413793103448277,4,2.355351867124335
6.0,1.3036968283087056e-05,1.494593977970509,1.0413793103448277,2,1.2180151208613745
7.0,8.223409063116785,3.712003877756668e-07,1.0413793103448277,3,6.227489362146554
8.0,2.267158959863866,1.9225458644913783e-10,1.0413793103448277,2,17.493879212720753
9.0,10.391117383222259,1.4660879217750813e-09,1.0413793103448277,1,9.133343040879506
10.0,9.586988255109697,2.3254003347237906e-08,1.0413793103448277,1,6.563786257135667
11.0,10.098243416228696,1.467876308746495e-08,1.0413793103448277,14,18.036072538605996
12.0,8.480734577945679,6.224517324246126e-07,1.0413793103448277,21,18.5965212964243
13.0,7.967865098540597,5.476172427566829e-06,1.0413793103448277,18,38.92103653513732
14.0,8.700196853221478,6.88660556277786e-07,1.0413793103448277,5,27.767411974708846
15.0,2.074718655183009e-18,3.4228000448828757,0.1,7,3.0675331849143155
16.0,7.622262664112311,1.5066070045671744e-06,1.0413793103448277,4,6.194002368202929
17.0,2.068173974708172,1.9558446795183377e-10,1.0413793103448277,2,6.818504263501253
18.0,1.0288317390817362e-06,1.9794439412052816,1.0413793103448277,4,2.390916361021711
19.0,3.007576530265102e-06,1.4630731645290538,1.0413793103448277,1,2.1250108178381892
20.0,2.105998375326114,1.9323523701236282e-10,1.0413793103448277,4,11.954106178928043
21.0,6.751606241294164e-07,3.277364477267929,1.0413793103448277,4,2.2293139488314226
22.0,2.145395921523653,1.9964298350839267e-10,1.0413793103448277,12,20.34774768216228
23.0,11.22157596088442,1.108653009614886e-09,1.0413793103448277,5,11.951992933640607
24.0,11.344070493498474,1.954939018160824e-10,1.0413793103448277,2,4.873159857518303
25.0,4.623451762321125e-06,1.594499679726627,1.0413793103448277,5,1.6452685658910366
26.0,2.0208900076882926e-07,5.490302910435552,1.0413793103448277,5,4.797592022753354
27.0,3.85492123234493e-07,13.358046087675943,1.0413793103448277,24,11.110289123753121
28.0,4.2405151125765474e-06,11.180094417113693,1.0413793103448277,14,9.935536473999159
29.0,-0.03095834693713467,3.1451160067671347,1.0413793103448277,2,1.152762152707891
30.0,7.600405257577634,1.867377803043522e-06,1.0413793103448277,4,4.932814636507167
31.0,11.207630327058398,2.936037918810693e-10,1.0413793103448277,0,2.5364744577220484
32.0,10.72509233532238,1.9469053042701683e-10,1.0413793103448277,0,2.3179930037127994
33.0,10.146898703556756,5.719835700077004e-09,1.0413793103448277,2,7.305249786021803
34.0,10.56501872236972,2.4603622739541396e-09,1.0413793103448277,2,11.656901007693266
35.0,1.4340852665337378e-19,3.1890545322976043,0.1,3,2.807683794103806
36.0,2.8101876017019146e-06,1.5630032653209314,1.0413793103448277,1,1.8382055472300287
37.0,7.891642454163688e-06,2.0726673048612345,1.0413793103448277,3,1.7017601467867918
38.0,2.2395383161123606e-06,3.0107584005593266,1.0413793103448277,1,2.34872656311149
39.0,1.2537849490937516e-05,1.4532144720884435,1.0413793103448277,1,1.46548563445236
40.0,-0.03213405658803794,15.773381032716427,0.1,21,2.5320998241843236
41.0,-0.021907858778196905,2.9928667890295517,1.0413793103448277,0,1.4912148202434186
42.0,1.117446093712701e-06,2.638461876058132,1.0413793103448277,3,2.701677325154486
43.0,3.5465173346865247e-06,1.905155905824164,1.0413793103448277,3,1.832194537188348
44.0,-0.0280476558783106,4.051946499518578,0.1,5,1.447736907502263
45.0,7.309844330610171e-06,2.1770522762494617,1.0413793103448277,2,1.5329704095138823
46.0,8.045941152136878,1.9518278487642205e-10,1.0413793103448277,1,4.055449557990048
47.0,-0.00041271282066727397,0.6393092152307925,0.1,0,0.836001939211513
