"時間軸（年次） コード","時間軸（年次） 補助コード","時間軸（年次）","男女 コード","男女 補助コード","男女","就業・通学 コード","就業・通学 補助コード","就業・通学","全国，都道府県（常住地） コード","全国，都道府県（常住地） 補助コード","全国，都道府県（常住地）","/全国［総数］，都道府県（従業地・通学地）","総数","北海道","青森県","岩手県","宮城県","秋田県","山形県","福島県","茨城県","栃木県","群馬県","埼玉県","千葉県","東京都","神奈川県","新潟県","富山県","石川県","福井県","山梨県","長野県","岐阜県","静岡県","愛知県","三重県","滋賀県","京都府","大阪府","兵庫県","奈良県","和歌山県","鳥取県","島根県","岡山県","広島県","山口県","徳島県","香川県","愛媛県","高知県","福岡県","佐賀県","長崎県","熊本県","大分県","宮崎県","鹿児島県","沖縄県","従業・通学市区町村「不詳・外国」","従業地・通学地「不詳」"
"2020000000","","2020年","0","","総数","0","","総数","07000","","福島県","","962,412","63","79","121","6,551","47","635","906,451","4,065","2,357","174","508","288","1,533","426","563","12","13","10","20","48","9","62","48","16","6","17","44","37","2","2","1","4","5","10","11","4","3","7","1","9","2","5","4","5","2","6","10","4,785","33,331"
"2020000000","","2020年","0","","総数","0","","総数","08000","","茨城県","","1,532,635","76","56","40","146","31","47","4,171","1,318,864","21,550","1,188","16,614","41,015","60,120","3,441","85","17","22","21","71","71","19","142","141","28","15","52","108","71","7","8","5","15","20","19","19","4","11","19","3","34","2","7","10","10","7","6","18","12,513","51,676"
"2020000000","","2020年","0","","総数","0","","総数","09000","","栃木県","","1,037,296","37","20","28","198","21","50","1,698","18,672","920,146","23,716","11,616","1,241","15,290","1,658","92","8","14","12","40","103","10","90","70","28","12","23","77","24","12","3","3","2","9","6","2","2","1","5","4","18","6","4","8","3","3","4","9","6,281","35,917"
"2020000000","","2020年","0","","総数","0","","総数","10000","","群馬県","","1,068,748","39","18","20","79","15","22","271","1,107","16,316","966,170","27,956","946","12,372","1,608","559","20","33","10","62","1,124","21","84","85","13","16","44","65","28","5","4","4","2","9","19","11","1","5","7","2","17","2","3","4","4","2","3","10","7,201","32,330"
"2020000000","","2020年","0","","総数","0","","総数","11000","","埼玉県","","3,899,283","249","81","125","473","57","92","603","14,917","10,058","30,191","2,666,624","41,033","892,096","25,695","374","61","87","43","596","864","76","554","515","83","47","128","476","151","16","16","17","15","41","87","30","11","28","42","13","153","17","26","46","32","14","37","71","49,986","162,236"
"2020000000","","2020年","0","","総数","0","","総数","12000","","千葉県","","3,293,772","252","68","82","273","42","43","423","35,203","999","842","40,472","2,309,705","691,830","23,947","185","56","46","37","187","249","45","441","472","76","46","119","539","172","18","22","11","15","55","91","58","20","34","36","21","184","17","36","39","26","9","29","76","37,044","149,080"
"2020000000","","2020年","0","","総数","0","","総数","13000","","東京都","","6,681,280","571","136","173","709","139","156","795","7,788","2,796","2,287","141,929","83,527","5,683,762","239,807","495","124","155","84","3,838","954","175","2,048","1,459","159","120","498","1,477","453","72","51","33","51","128","273","80","38","69","73","56","427","45","83","94","115","46","80","148","74,850","427,854"
"2020000000","","2020年","0","","総数","0","","総数","14000","","神奈川県","","4,807,574","335","105","134","488","79","94","485","2,404","1,393","1,101","12,936","13,642","1,035,027","3,447,468","277","77","87","61","1,942","462","123","10,265","1,146","161","100","277","945","331","49","32","23","32","95","196","107","36","56","66","21","336","33","52","68","50","40","60","99","48,344","225,834"
"2020000000","","2020年","0","","総数","0","","総数","15000","","新潟県","","1,210,262","44","24","23","166","41","480","488","73","52","466","465","223","1,532","416","1,172,033","565","114","48","37","1,168","25","37","84","13","12","33","71","28","6","6","3","4","9","16","10","2","1","12","2","11","1","2","10","3","1","1","11","4,922","26,468"
"2020000000","","2020年","0","","総数","0","","総数","16000","","富山県","","595,044","32","7","5","20","7","13","17","22","14","25","79","41","457","118","475","568,453","7,127","210","22","154","348","31","188","15","26","101","115","42","8","3","-","5","11","13","6","2","-","5","5","8","-","4","-","4","-","3","7","2,696","14,100"
"2020000000","","2020年","0","","総数","0","","総数","17000","","石川県","","644,795","35","14","4","29","2","5","5","19","10","15","51","31","476","90","108","5,468","615,989","2,460","10","47","117","34","260","21","84","143","228","85","4","6","4","1","17","33","7","13","10","35","3","13","2","1","5","5","2","4","7","2,375","16,408"
"2020000000","","2020年","0","","総数","0","","総数","18000","","福井県","","446,418","15","6","3","7","1","-","11","14","10","3","17","14","246","59","35","194","2,878","427,685","9","18","130","32","219","22","531","1,405","640","85","14","7","3","8","9","16","4","3","-","6","3","11","1","3","2","4","5","2","9","1,714","10,305"
"2020000000","","2020年","0","","総数","0","","総数","19000","","山梨県","","434,867","14","3","14","14","5","3","27","61","31","64","458","151","9,394","2,383","26","7","9","5","404,848","1,446","16","2,192","68","9","9","18","38","11","1","2","-","1","5","8","6","2","2","1","1","12","-","1","2","1","-","2","3","2,485","11,008"
"2020000000","","2020年","0","","総数","0","","総数","20000","","長野県","","1,122,938","42","13","16","36","14","18","47","65","69","1,351","1,110","283","4,836","605","1,009","187","102","28","1,904","1,074,721","878","305","1,255","43","32","115","99","34","14","9","8","2","13","11","5","1","8","6","9","15","3","3","3","-","6","3","10","4,996","28,596"
"2020000000","","2020年","0","","総数","0","","総数","21000","","岐阜県","","1,103,907","27","5","5","16","4","4","14","16","20","18","49","53","672","151","17","298","198","261","26","895","949,736","280","108,880","3,518","1,476","300","379","119","27","18","9","1","12","28","8","4","6","6","7","29","2","5","6","8","10","5","12","6,756","29,511"
