都道府県コード,beta,gamma,sigma_bar
1.0,7.384611614181024e-06,2.4960984877949746,78.84744955422995
2.0,3.629583223660898e-05,3.4423602727763085,9.463004181197482
3.0,2.080971160847047e-05,1.815641785801198,13.121534117512205
4.0,1.4614732213580527e-05,2.0714173490176924,27.31804291992817
5.0,0.000509438753113432,36.362777332148234,8.120882949531106
6.0,0.0004500484364002795,33.663566437587086,7.840295115741054
7.0,0.0007032937150026576,95.40982645453131,18.986000834989717
8.0,0.0004968951700420395,85.3222304257188,19.245568929951112
9.0,0.000780240055299112,92.72558785996796,12.81632569377104
10.0,0.0003086487023683697,35.53820167513144,19.598590253348757
11.0,-3.005727945901166e-37,-1.0994375007538937e-30,45.21075062971378
12.0,0.00012206126640198544,38.34119365535867,28.287028662886676
13.0,5.7863536528597895e-05,34.493782716869774,66.68240253618617
14.0,7.400005388305375e-05,31.697289708345917,40.65494257095138
15.0,0.000259213673066084,38.07516241228635,19.907864570505748
16.0,-2.1653405043855742e-07,-0.13698655812097732,3.358130722647744
17.0,2.5213552196136853e-05,1.7029598751388417,2.575621389724549
18.0,5.039313358105381e-05,2.493960926144024,2.3071998873561257
19.0,-1.0225852706855707e-20,-5.113280069601414e-15,6.2380921146564505
20.0,1.137480145936085e-05,1.3820350056191535,19.82418841053746
21.0,1.2347341212061058e-05,1.4731826599606799,22.342159661176183
22.0,-9.804940576133165e-34,-2.2380544949265893e-27,15.3003861818585
23.0,0.00016192214612033927,63.73101619835956,39.41833015628527
24.0,1.0002048007917344e-05,1.0005643045705799,13.109968043395911
25.0,1.659273989289732e-05,1.2497208244326206,5.366957347667772
26.0,7.128780668822951e-06,1.0348221853046458,7.087391252657312
27.0,2.505322002883275e-06,1.2443019119400849,16.036216202083708
28.0,1.5334241337724229e-06,0.4777332868100905,22.10247184164394
29.0,1.1809745929877628e-09,9.036373775378034e-05,4.297600204471498
30.0,2.7624275252763926e-05,1.6827455629695003,6.02224225598734
31.0,1.3199430917351163e-05,0.5024302012425911,3.9546524308152353
32.0,2.5158788920666847e-05,1.1553968730228847,3.4366814889948816
33.0,0.00046864922973186094,52.74094919921167,10.997636732699684
34.0,7.4588450728984805e-06,1.2451154960888817,51.69774502540617
35.0,0.0004566725855072222,41.004072840125126,14.852087633616312
36.0,3.204063009988061e-05,1.550973756483357,6.444830071970845
37.0,3.718148385717187e-05,2.160444723026302,5.903609313484532
38.0,1.2154157752301335e-05,1.0843581216232199,9.961632763655464
39.0,8.183409591482697e-05,3.8307875905537245,2.599159150801231
40.0,3.4873441637360113e-06,1.0279005826331429,27.867801788492123
41.0,6.318546242210621e-05,3.6189363462301647,4.815004255727142
42.0,1.3010956642842072e-05,1.3413364761955087,10.236516224889163
43.0,-1.627445381207145e-22,-1.9501011493821239e-16,2.4696176359182345
44.0,0.0008907299530709053,65.16810277392486,11.080847661020275
45.0,1.4626868503533358e-05,1.132394267277715,4.563433142679065
46.0,1.312702448049846e-05,1.5375060196307184,2.596609438494965
47.0,3.327852482762569e-05,3.2235740043974124,5.028271934118608
