都道府県コード,beta,gamma,sigma_bar
1.0,-8.136575090626918e-32,-2.864518564620827e-25,20.47284565244405
2.0,-1.7912524462030656e-25,-1.7692930030773867e-19,3.135112767030292
3.0,3.955057305883938e-10,3.451124003349224e-05,3.623088715998503
4.0,-1.3261294712050305e-30,-1.957651157337859e-24,6.837085015937242
5.0,2.6081004127651214e-09,0.00018615411121013432,3.788175646321696
6.0,8.141112347614542e-10,6.089326901899034e-05,4.302375656174605
7.0,0.0014405352569788863,195.42506405500208,5.901619277431126
8.0,0.0015960885019637096,274.0655193856665,7.450908337783883
9.0,0.0022572379136206674,268.2555351490433,4.83129528338455
10.0,0.002348334026805182,270.39526682445376,7.279452578946622
11.0,0.0006341765211237269,222.7907477027818,14.859859580648305
12.0,0.00021159526339317836,66.46811881167504,27.76591730967346
13.0,0.00040539291568141255,241.68461140930876,43.19085166238472
14.0,0.00017453554893253975,74.77138170139155,36.84641176406696
15.0,0.0013299211421750959,195.3505752747626,8.975504519879918
16.0,9.847407866184334e-10,5.9825612337367e-05,1.4192267301932218
17.0,-2.6457640399007885e-08,-0.001787072283410804,1.1985413975636403
18.0,9.189188815605004e-07,0.045479809509370826,1.2232064719764968
19.0,9.10813870265298e-10,4.374027234022617e-05,1.774144002564422
20.0,5.969067256027776e-10,7.253589947929967e-05,5.108485467989438
21.0,1.935071905511452e-09,0.00023090625750323704,4.987159327430554
22.0,0.0009048606610265666,198.36253539294324,7.333922420624925
23.0,0.0005165516351517038,203.3098146447407,20.170619556586903
24.0,1.0336971063636493e-09,0.00010342092393994224,3.694532954860783
25.0,7.879289641379229e-10,5.934882490087093e-05,1.7012419569437829
26.0,2.8681437610743014e-09,0.0004163730489381447,2.616164009401295
27.0,7.531009193177422e-10,0.00037405478541982924,4.770148140197477
28.0,-1.6008706896681905e-23,-5.1943201020444e-17,5.607822580453839
29.0,3.404539583730386e-09,0.00026052234694295403,1.384416505330378
30.0,3.365987100300906e-07,0.020505918030952957,1.9837341879605503
31.0,-1.6171705954900514e-07,-0.0061561986087774875,1.388877387142837
32.0,1.3197293516102822e-08,0.0006061282896222241,1.320422202643492
33.0,3.986153565426758e-10,4.4858078492889905e-05,4.725236518561709
34.0,-8.927402919321895e-23,-1.552234612010974e-16,11.615361338377554
35.0,0.0021437934670558542,192.49029258194238,5.037678089586617
36.0,9.643939747052957e-09,0.00046687439128446695,1.871701226712424
37.0,1.0495566522516416e-10,6.099011783597478e-06,1.7782686061068058
38.0,-7.056485008874476e-25,-6.557054472456265e-19,3.3221114917221928
39.0,-0.0,-0.0,1.264472595899139
40.0,0.0006805990706956579,200.63562549821148,11.70480148250059
41.0,-1.3372105364507232e-06,-0.07659193872030927,1.6197002047145632
42.0,-2.3890480084526387e-06,-0.24631530522030376,2.894810854531225
43.0,1.8125248517546965e-09,0.0002085704453260664,1.4488494470804458
44.0,6.9296169572123095e-09,0.0005069689934510906,2.9746356367642552
45.0,-1.260462777854889e-06,-0.09758938642802355,1.4445604901968554
46.0,-1.3282793953277115e-06,-0.1555795950857941,1.196345758952952
47.0,1.2679077017019232e-09,0.00012282226732794884,1.8205082952889708
