都道府県コード,beta,gamma,sigma_bar
1.0,8.005729401038996e-05,27.065733080264778,17.05441930456763
2.0,9.359596991708081e-09,0.0008876344984161508,11.704181193254207
3.0,0.0007886734830640335,68.82058771099581,7.240458853299594
4.0,0.0001998556342069857,28.331858152661376,15.871840771439777
5.0,0.0005085002704099922,36.295788405778524,7.387701870020095
6.0,0.0004443533483486112,33.23754990479229,7.880346415317297
7.0,0.0007010785137817818,95.1093090895306,15.50397179732414
8.0,0.0004997974569023991,85.8205842885597,16.195164777494764
9.0,0.0007830904704821802,93.06433801711793,11.065759436712156
10.0,0.00030792674870622986,35.45506805920518,17.333799282071332
11.0,-2.5390279157883983e-38,-9.287716773186058e-32,43.258726839534354
12.0,0.00012256164976010386,38.49839537614782,26.561180145379893
13.0,5.8077934441566964e-05,34.62161315921311,58.85020364698045
14.0,-8.523470446099288e-37,-3.801659343833683e-30,104.6652262181361
15.0,0.00025890403643476565,38.029677219098275,17.04362239899897
16.0,-1.0333899584370644e-32,-6.537400894227704e-27,4.199139647651684
17.0,-1.6223038220872684e-27,-1.1410483846079756e-21,2.814884708195018
18.0,5.130159988673186e-06,0.25388448202385944,2.4906431619442384
19.0,-1.8451925575079328e-33,-9.226940202230862e-28,5.749900333546903
20.0,0.00027178064441608094,33.02808142552233,14.545324162005029
21.0,0.000433100637447333,51.68239287492924,9.18342016418602
22.0,-2.8401748133892846e-19,-6.483136385023727e-13,15.926705861817052
23.0,0.00016116898167467235,63.43457774436834,34.21053378833191
24.0,0.0007546668690844188,75.5065941424784,11.66489294328666
25.0,-9.749494050630498e-20,-7.646903019512998e-14,5.221634012793585
26.0,0.001006659857889257,146.14161141787022,13.603168553706364
27.0,-8.037254472215564e-38,-4.156982698382358e-31,16.28846961099754
28.0,-8.941884793194257e-26,-2.901136263077117e-19,20.97187376829124
29.0,1.0692238870915897e-09,8.181395696822779e-05,4.236071044506863
30.0,0.001639429506925397,99.87903984761664,8.14161627241478
31.0,-1.0410198280029574e-23,-4.126543913354926e-18,3.3319814176365314
32.0,0.0024429801179473385,112.20478252292325,4.56472118002943
33.0,0.00047344644622830353,53.28082063202746,9.258275121960834
34.0,0.0001886707097004026,31.502585939078664,14.825432228402324
35.0,0.0004547347254929152,40.830067074260526,12.957845141713848
36.0,0.0017780780277559351,86.08158521675266,5.327352114393015
37.0,0.00200089088228464,116.27647322887354,8.890558669801399
38.0,0.0009892912487275297,88.27799598620386,14.117447248559229
39.0,2.2037220361841512e-05,1.0315746849783263,2.59699782503955
40.0,0.00034433616664517725,101.50778211352102,31.86834413527472
41.0,0.0021442810486917087,122.82193337509047,6.087189132300004
42.0,0.0009471575673847261,97.65721414897895,8.95084449265443
43.0,-5.1379037671633635e-34,-6.1566319961870365e-28,3.3685455208248003
44.0,0.0008933690922635033,65.36118904665443,9.870655988630558
45.0,0.0021209233183574197,164.21290929930439,6.988135026056326
46.0,-1.8436110444430538e-31,-2.2486749596677087e-25,2.85805263437092
47.0,-2.491760959971217e-29,-2.5135208585589315e-23,5.981274891894651
