,lambda_0,I_0
1.0,0.595849910885669,14.802925961211216
2.0,0.2910504998425582,6.031540967071707
3.0,0.6918497375507318,1.9232833888589247
4.0,0.5907318382205118,6.72319577642609
5.0,0.9655410734675954,0.9752780895572928
6.0,0.8373784608117334,2.3268601404002536
7.0,0.6208640310650556,5.0863287508402335
8.0,0.5041170238347016,10.710947909420678
9.0,0.7025538314632032,3.724599660381909
10.0,0.6727171343973744,6.584674433380813
11.0,0.03129997894767478,81.16590125907497
12.0,0.4637869689799322,34.264858698382724
13.0,0.33365331474099,105.84325639747317
14.0,0.22103565797101432,115.75441859650904
15.0,0.5702044871908978,10.528873631816603
16.0,0.21972245773192012,4.12891791733713
17.0,0.25577439737240326,3.1432304163902005
18.0,0.15404450409286985,2.9301560515839986
19.0,0.15021261766264793,7.462887863429272
20.0,0.44357774684140244,9.388144360860645
21.0,0.5719130753421041,4.558669572948885
22.0,0.27176139320804016,20.179865375185464
23.0,0.7883163615337614,7.901614512157607
24.0,0.43788967416526936,6.137953208527393
25.0,0.32550148714693616,3.195771718381737
26.0,0.4897306600463332,4.78512414607972
27.0,0.39702919135389714,13.56174562462701
28.0,0.36703670467437033,16.50924469366356
29.0,0.3851328923166742,3.3023128434872393
30.0,0.5666042146663899,2.0049751858734766
31.0,0.204513498832717,4.858503836718752
32.0,0.5306285536186978,1.597885859188452
33.0,0.7632580560634149,2.8011312039867353
34.0,0.6168446397426649,8.265625838405613
35.0,0.5804444469523322,5.434372268191916
36.0,0.458496747865876,1.939280532189729
37.0,0.3819977332574278,3.326099957062786
38.0,0.3798694320409351,6.870742321116992
39.0,0.42766661190035704,0.6988271187695093
40.0,0.5493419474108003,12.479088354496703
41.0,0.4682131227290083,1.3195079107291228
42.0,0.42906420728595773,4.755631084284911
43.0,0.1541817724740675,6.409340372674759
44.0,0.8022634540109806,1.5281421358138787
45.0,0.4722953221632966,2.016395636993018
46.0,0.3347952867128833,2.83226253388496
47.0,0.37436043537895347,1.8977601601080123
