都道府県コード,λ_0,I_0,R_0,I_0_actual,sigma_bar
1.0,1.1199613688385448,3.9624748828287437,1.0413793103448277,20,17.05441930456763
2.0,3.672970338273735e-05,16.88853143921703,1.0413793103448277,8,11.704181193254207
3.0,2.8477484570067295,0.000741742080520527,1.0413793103448277,2,7.240458853299594
4.0,1.172352751144611,1.3835914018754742,1.0413793103448277,8,15.871840771439777
5.0,1.5018946926529075,0.31268751141846973,1.0413793103448277,1,7.387701870020095
6.0,1.3753468926120977,1.016365828468404,1.0413793103448277,3,7.880346415317297
7.0,3.935557617497826,0.0004671271740121241,1.0413793103448277,5,15.503971797324139
8.0,3.5511965912507533,0.002348249133540881,1.0413793103448277,13,16.195164777494764
9.0,3.850938124846267,0.0006192265703390967,1.0413793103448277,4,11.065759436712156
10.0,1.4671062645188382,2.2935978948115148,1.0413793103448277,3,17.333799282071332
11.0,8.358945095867453e-32,45.86460210260582,0.1,44,43.258726839534354
12.0,1.593037050047499,14.624271798611886,1.0413793103448277,19,26.561180145379893
13.0,1.4326184755536489,52.47117977431779,1.0413793103448277,49,58.850203646980454
14.0,3.421493409450314e-30,106.529707574949,0.1,54,104.6652262181361
15.0,1.5736418159626904,1.7562733362401821,1.0413793103448277,9,17.04362239899897
16.0,5.883660804804934e-27,6.296701517204344,0.1,5,4.199139647651684
17.0,1.0269435461471779e-21,5.938892895281533,0.1,5,2.814884708195018
18.0,0.010505564773401171,5.586441552719136,1.0413793103448277,2,2.4906431619442384
19.0,8.304246182007776e-28,6.702912239580717,0.1,3,5.749900333546903
20.0,1.3666792314009266,0.6145268726160344,1.0413793103448277,11,14.545324162005029
21.0,2.1385817741350075,0.019547139039692053,1.0413793103448277,5,9.18342016418602
22.0,5.834822746521354e-13,24.600473864339616,0.1,12,15.926705861817053
23.0,2.6248790790773153,0.01165499710179509,1.0413793103448277,9,34.21053378833191
24.0,3.1244107921025615,0.00020662344247278372,1.0413793103448277,6,11.664892943286661
25.0,6.882212717561699e-14,7.155332763403289,0.1,5,5.221634012793585
26.0,6.047239093153263,0.0001235672526472311,1.0413793103448277,4,13.603168553706363
27.0,3.741284428544122e-31,31.730779974081486,0.1,16,16.28846961099754
28.0,2.6110226367694057e-19,32.51518959446607,0.1,20,20.971873768291236
29.0,3.3854051159266738e-06,6.630489890764092,1.0413793103448277,3,4.236071044506863
30.0,4.132925786797938,1.8056983188304777e-06,1.0413793103448277,3,8.14161627241478
31.0,3.7138895220194325e-18,4.563724601762279,0.1,5,3.3319814176365314
32.0,4.642956518189937,1.2608159059166196e-07,1.0413793103448277,1,4.56472118002943
33.0,2.2047236123597616,0.025391126905412488,1.0413793103448277,3,9.258275121960834
34.0,1.3035552802377404,1.585433210489652,1.0413793103448277,13,14.825432228402324
35.0,1.6895200168659563,0.8431643045101435,1.0413793103448277,4,12.957845141713847
36.0,3.5619966296587378,5.240651340294576e-07,1.0413793103448277,2,5.327352114393015
37.0,4.811440271539604,1.1398122732234137e-05,1.0413793103448277,3,8.890558669801399
38.0,3.6528825925325807,5.23592150383674e-07,1.0413793103448277,7,14.117447248559227
39.0,0.04268584903358602,3.448522407797199,1.0413793103448277,1,2.59699782503955
40.0,4.200322018490533,7.428899186652662e-06,1.0413793103448277,13,31.86834413527472
41.0,5.082286898279616,1.9417879232350415e-08,1.0413793103448277,2,6.087189132300004
42.0,4.040988171681896,4.827050080810252e-06,1.0413793103448277,5,8.95084449265443
43.0,5.540968796568333e-28,7.298369338405628,0.1,4,3.3685455208248003
44.0,2.7046009260684647,0.0013061045263937678,1.0413793103448277,1,9.870655988630558
45.0,6.795016936522954,6.15138840264421e-09,1.0413793103448277,1,6.988135026056326
46.0,2.023807463700938e-25,5.775839373270208,0.1,3,2.8580526343709196
47.0,2.2621687727030382e-23,6.726080981460867,0.1,4,5.981274891894651
