都道府県コード,λ_0,I_0,R_0,I_0_actual,sigma_bar
1.0,7.613277568518751e-06,7.180496355137688,1.0413793103448277,2,6.150547119511753
2.0,0.0029880458691200536,1.055529264907544,1.0413793103448277,0,1.3251499753258174
3.0,-0.00021810605590198728,1.564990790883069,1.0413793103448277,1,1.4425700451486698
4.0,0.0002487856380019143,1.9061441148983385,1.0413793103448277,1,1.594702381333438
5.0,9.220231977290279e-05,1.1596863689493926,1.0413793103448277,0,1.518454524614762
6.0,-0.011189478891247884,1.9129521431881744,1.0413793103448277,2,1.361040071391534
7.0,6.717122776585614e-14,2.3295546469360224,0.1,1,2.126555078217955
8.0,2.7678832472454296e-06,2.73878062474622,1.0413793103448277,3,2.1592715874739765
9.0,8.034725882532125e-06,1.9454092649169876,1.0413793103448277,3,1.7265439247749859
10.0,1.2340759324348313e-06,2.2290305646277724,1.0413793103448277,0,1.865198979540887
11.0,6.4948294243934675e-18,5.60713720216169,0.1,1,3.8388122772001556
12.0,9.819246841369564e-07,5.506393808078327,1.0413793103448277,5,3.3241590113071706
13.0,8.549870222207934,1.9498458707102666e-10,1.0413793103448277,4,18.668895537124364
14.0,2.1179712067228976e-31,8.60192274385716,0.1,0,4.340115928422731
15.0,9.824346410515971e-05,2.021997774219917,1.0413793103448277,0,1.6730525352159116
16.0,-0.007449433375153959,1.7748271653835535,0.1,4,1.3208721202622946
17.0,0.007485486273516007,0.7446131573273259,1.0413793103448277,2,0.8451408697526853
18.0,8.506805303404532e-06,1.4698009348608183,1.0413793103448277,1,1.2970503463955756
19.0,2.708968436612821e-05,0.6471999426007873,1.0413793103448277,0,0.9971129784377961
20.0,1.2390780079715721e-05,2.17719447338192,1.0413793103448277,2,1.5220415908545581
21.0,7.89828263119277e-06,1.197070456264882,1.0413793103448277,0,1.1662182718402028
22.0,2.0236220878587043e-23,3.2891826609264587,0.1,3,2.3458665286390117
23.0,-0.001821533015619369,5.271618615243829,0.1,4,2.2043143225258297
24.0,-0.011946807848681287,2.453155165235849,0.1,2,1.3464082982236878
25.0,8.820891365471853e-06,1.0800889046463853,1.0413793103448277,1,1.0213441834243446
26.0,6.566918740622011e-06,2.523289819159814,1.0413793103448277,3,1.9958773417239712
27.0,3.205511122810265e-25,7.145725780268523,0.1,7,3.575244858043049
28.0,2.092866398783438e-06,6.085755666782314,1.0413793103448277,6,5.375073504710762
29.0,8.949343647171966e-06,1.2788190281079768,1.0413793103448277,0,1.4502548818997016
30.0,8.112588431621427e-06,0.8814921470903869,1.0413793103448277,0,0.8581419804716568
31.0,8.603584318745188e-06,0.8469412076342686,1.0413793103448277,0,1.2086830392858188
32.0,7.806135103121941,1.956218104692465e-10,1.0413793103448277,0,1.4063431601501308
33.0,8.03207723307666,1.9499676905606944e-10,1.0413793103448277,1,3.759682497944448
34.0,1.0564488196414901e-19,2.3128992636353254,0.1,4,1.9364236146948381
35.0,1.5526635479993947e-06,1.2688149614909696,1.0413793103448277,1,1.4476143424676085
36.0,2.136001894568014e-06,0.7178946183922217,1.0413793103448277,1,0.776576826122355
37.0,11.157098596349124,1.9478725010082213e-10,1.0413793103448277,1,2.9254957721476487
38.0,2.1291122079605887e-06,2.826026063833335,1.0413793103448277,0,3.0777697440808627
39.0,2.401247607535326e-05,0.9958121996534544,1.0413793103448277,0,1.0646301575524302
40.0,8.932868841303575e-27,5.889985522777844,0.1,6,4.264985379781979
41.0,6.885531354064527e-06,0.8482299726361894,1.0413793103448277,0,0.8911705258825029
42.0,1.3746382315865701e-05,1.9222798304236788,1.0413793103448277,4,1.615601491095943
43.0,-0.0076574312190072985,1.560242601130314,1.0413793103448277,0,1.1491028608015978
44.0,9.097219049754663e-06,1.679230278814047,1.0413793103448277,0,1.8302564806499602
45.0,3.973695113786782e-05,1.0790265103956322,1.0413793103448277,1,1.187349997522359
46.0,6.354795776737832e-06,0.9811238170447543,1.0413793103448277,0,1.0566119739931976
47.0,2.113206882657843e-05,0.4650860407249873,1.0413793103448277,0,0.7408861096457284
