"統計名：","昭和60年国勢調査 第1次基本集計 全国編"
"表番号：","00301"
"表題：","男女の別（性別）（３），年齢５歳階級（２３）人口及び平均年齢・年齢中位数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別"
"実施年月：","1985年","10月"
"市区町村時点（年月日）：","-"

"***","当該数値がないもの"
"-","当該数値がないもの"

"","","","","","","","","","","","","/年齢５歳Ａ等030125 コード","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","018","019","020","021","022","023","024","025"
"","","","","","","","","","","","","/年齢５歳Ａ等030125 補助コード","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"全域・集中の別030002 コード","全域・集中の別030002 補助コード","全域・集中の別030002","男女Ａ030001 コード","男女Ａ030001 補助コード","男女Ａ030001","時間軸（年次） コード","時間軸（年次） 補助コード","時間軸（年次）","全国都道府県030001 コード","全国都道府県030001 補助コード","全国都道府県030001","/年齢５歳Ａ等030125","総数【人】","０－４歳【人】","５－９歳【人】","１０－１４歳【人】","１５－１９歳【人】","２０－２４歳【人】","２５－２９歳【人】","３０－３４歳【人】","３５－３９歳【人】","４０－４４歳【人】","４５－４９歳【人】","５０－５４歳【人】","５５－５９歳【人】","６０－６４歳【人】","６５－６９歳【人】","７０－７４歳【人】","７５－７９歳【人】","８０－８４歳【人】","８５－８９歳【人】","９０－９４歳【人】","９５－９９歳【人】","１００歳以上【人】","年齢不詳【人】","平均年齢【歳】","年齢中位数【歳】"
"00700","","全域","000","","男女総数","1985000000","","1985年","15000","","新潟県","","2,478,470","152,967","177,576","192,942","163,557","129,879","150,292","184,723","205,695","164,830","164,638","171,810","166,973","135,260","106,767","91,518","66,141","35,670","13,153","3,410","461","39","169","37.5","36.9"
"00700","","全域","000","","男女総数","1985000000","","1985年","16000","","富山県","","1,118,369","63,268","77,185","93,512","76,168","58,438","62,254","76,673","102,300","83,153","73,925","77,051","72,462","58,304","47,683","42,708","29,271","16,167","6,027","1,569","206","15","30","37.6","37.4"
"00700","","全域","000","","男女総数","1985000000","","1985年","17000","","石川県","","1,152,325","70,341","84,087","99,681","81,742","71,219","70,020","81,264","106,227","83,906","70,564","72,227","68,104","55,899","45,583","40,061","28,023","15,458","5,902","1,519","211","15","272","36.3","35.9"
"00700","","全域","000","","男女総数","1985000000","","1985年","18000","","福井県","","817,633","51,542","58,295","66,298","53,831","47,128","50,777","58,623","68,372","55,681","51,038","55,264","53,765","42,200","33,981","29,817","21,621","12,658","5,123","1,430","151","13","25","37.2","36.5"
"00700","","全域","000","","男女総数","1985000000","","1985年","19000","","山梨県","","832,832","50,012","57,236","65,627","62,192","52,479","50,729","58,818","66,483","57,160","53,095","54,290","53,161","43,852","35,709","30,234","21,885","12,817","5,286","1,497","249","13","8","37.2","36.4"
"00700","","全域","000","","男女総数","1985000000","","1985年","20000","","長野県","","2,136,927","126,554","150,160","169,835","141,763","113,176","124,513","144,722","171,945","150,893","137,454","144,538","147,242","122,504","95,320","82,109","59,938","35,499","14,609","3,595","515","32","11","38.1","37.6"
"00700","","全域","000","","男女総数","1985000000","","1985年","21000","","岐阜県","","2,028,536","124,269","147,392","177,032","153,123","123,985","119,833","142,334","177,018","151,276","138,373","134,793","123,821","94,778","73,863","63,340","44,245","25,543","10,402","2,614","369","21","112","36.0","35.7"
"00700","","全域","000","","男女総数","1985000000","","1985年","22000","","静岡県","","3,574,692","228,290","261,698","305,430","254,607","210,906","230,044","270,176","318,846","275,682","246,803","235,028","209,899","159,762","122,897","103,969","73,091","42,640","18,636","5,070","784","49","385","35.7","35.4"
"00700","","全域","000","","男女総数","1985000000","","1985年","23000","","愛知県","","6,455,172","409,877","465,891","570,961","524,878","485,335","426,396","474,489","598,124","526,331","452,395","401,274","328,498","240,447","186,910","161,603","108,433","59,503","23,720","6,121","853","80","3,053","34.1","33.7"
"00700","","全域","000","","男女総数","1985000000","","1985年","24000","","三重県","","1,747,311","104,193","121,818","145,882","124,988","104,465","103,091","120,119","148,786","129,803","118,501","119,411","112,242","83,102","66,735","60,294","43,806","26,011","10,813","2,761","364","31","95","36.9","36.6"
"00700","","全域","000","","男女総数","1985000000","","1985年","25000","","滋賀県","","1,155,844","78,441","90,601","101,288","82,972","71,271","72,004","85,094","103,321","85,393","72,365","70,990","66,829","50,456","40,715","36,267","25,697","14,460","5,819","1,491","196","12","162","35.3","34.8"
"00700","","全域","000","","男女総数","1985000000","","1985年","26000","","京都府","","2,586,574","151,182","175,954","211,492","200,596","206,539","157,195","177,689","234,636","197,094","169,284","162,308","142,312","109,864","89,986","83,364","62,219","35,171","14,784","3,548","522","35","800","35.9","35.3"
"00700","","全域","000","","男女総数","1985000000","","1985年","27000","","大阪府","","8,668,095","517,246","586,591","746,342","714,442","675,317","557,370","632,412","810,454","736,937","640,662","562,935","443,333","319,875","243,872","210,795","145,754","78,060","30,197","6,997","855","49","7,600","34.5","34.3"
"00700","","全域","000","","男女総数","1985000000","","1985年","28000","","兵庫県","","5,278,050","324,476","373,527","451,102","392,823","349,164","325,495","378,545","473,840","413,394","361,083","350,392","305,472","231,335","177,822","158,213","111,395","63,653","26,507","6,758","972","62","2,020","35.7","35.5"
"00700","","全域","000","","男女総数","1985000000","","1985年","29000","","奈良県","","1,304,866","79,690","94,648","114,177","102,928","86,672","76,786","93,203","119,274","105,589","89,553","82,107","72,293","55,382","42,757","38,216","27,435","15,490","6,334","1,628","222","27","455","35.4","35.2"
