都道府県コード,beta,gamma,sigma_bar
1.0,4.7300044633246775e-09,0.0018507377560799316,24.36956704000511
2.0,2.5925640837605613e-06,0.2792435445577584,3.3907960594173927
3.0,2.6320621199423548e-36,2.704820138624996e-30,3.8992579878707705
4.0,1.3239797804107346e-06,0.20358339051653626,4.376590850111917
5.0,1.1274533056262707e-06,0.09267191790703756,4.3059135633853725
6.0,-1.3068384917077988e-21,-1.1384618266836022e-15,3.4523154882270286
7.0,1.9770236401856604e-08,0.0029119621444889943,6.341962729407379
8.0,-3.392818313283307e-34,-6.6994244082881705e-28,6.380808523437753
9.0,-2.566307144710934e-18,-3.574007597711382e-12,4.354238998772751
10.0,2.882123394872239e-09,0.0003811853161428133,6.922556764932168
11.0,-3.96067908451148e-31,-1.7188819362195704e-24,14.349917216709407
12.0,5.352478010483707e-12,1.926293921923256e-06,11.459187734229593
13.0,-2.146286448174146e-53,-1.5349470171098995e-46,38.63505289640902
14.0,-3.465691451759556e-28,-1.7925962512166344e-21,15.281343369346322
15.0,2.4406990761837743e-07,0.041474506094375245,4.377602009923893
16.0,-1.0862413917617731e-05,-0.7973760715755814,2.4751888299906586
17.0,1.5880681735985185e-24,1.3254335672519615e-18,1.4142299756062504
18.0,-8.06505393075066e-19,-4.625447553650131e-13,2.7367702306564694
19.0,0.004053742603531879,214.20566528562884,3.1523083547137043
20.0,-5.8990351577763565e-24,-8.703052063165562e-18,4.51587513894034
21.0,-5.212868870100406e-06,-0.7142267686839062,2.679648806242698
22.0,6.056100863131417e-11,1.509604662425266e-05,6.474499164779221
23.0,2.7618522081070804e-09,0.013171095552252333,3.9522640194057783
24.0,4.384304832449353e-06,0.5651776861930111,3.5693271962212845
25.0,-4.8406176538529246e-23,-4.2011405491020447e-17,2.552522774574521
26.0,9.141219002123533e-10,0.00015648546621512834,6.085037396510924
27.0,-4.2358385030076575e-31,-2.5944564517272352e-24,12.912885827355913
28.0,-1.2728953452191639e-37,-4.7915705244824095e-31,19.1206427828239
29.0,-1.585435123958185e-18,-1.4025938358912567e-12,3.599899061745389
30.0,4.756469866578308e-08,0.0033368210676826596,2.1443688276295045
31.0,0.003232702614941158,133.1226934031743,2.9897570466904564
32.0,0.0029007375427579024,147.87258809251125,2.773482807203336
33.0,0.0010140422727312726,128.44336163040907,9.781275644821006
34.0,2.7590838296538306e-12,5.341108934369425e-07,4.472169248329723
35.0,7.290376713425897e-09,0.0007600268413661017,3.417742061768613
36.0,5.094585265175692e-09,0.0002688331898584673,1.6242280598593553
37.0,-9.081176269629164e-26,-6.421110347265231e-20,6.723792326455596
38.0,-4.4313542931818884e-20,-4.6978834751904767e-14,11.474259245959306
39.0,4.011166605300699e-08,0.0020921567831789613,2.1949620565077885
40.0,-3.7694074833138966e-17,-1.2822936280850888e-10,13.972528211877274
41.0,-2.705372769455188e-22,-1.7459759130068834e-16,1.797117929535717
42.0,-8.843728603978313e-20,-1.0468377121884067e-13,3.577880605193259
43.0,-1.2136257777028862e-25,-1.5357421078758105e-19,2.6621077726764346
44.0,0.001915603405523631,161.69272159873535,8.143613233560984
45.0,-4.635592085897772e-21,-4.182016323697179e-15,1.6304067559693876
46.0,-3.8490295254366396e-27,-4.85969972340984e-21,2.730225627582555
47.0,-7.3912736018213835e-19,-7.704948405735235e-13,1.6842654064556664
